water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,longitude,month_august,month_july,month_june,month_may,month_september,CITY_chennai,CITY_delhi,CITY_jaipur,CITY_kolkata,CITY_kurnool,CITY_mumbai
-1.0,-0.20000000000000107,-1.0,0.9649122807017543,0.3827160493827164,-0.75,-0.7868852459016393,0.6190476190476191,-0.9669811320754716,-0.23303457106274017,-1.0,True,False,False,False,False,False,False,False,False,False,True
-1.0,0.1999999999999993,-0.45454545454545503,1.0,-0.9999999999999999,-0.25,-0.47540983606557363,-0.06349206349206338,-0.990566037735849,0.23175416133162585,1.0,False,False,False,False,True,False,False,False,True,False,False
-0.43512724238631617,-0.6799999999999997,-0.5454545454545459,0.29824561403508776,1.0000000000000004,-0.3999999999999999,-0.44262295081967196,-0.7269841269841268,0.2924528301886793,-0.6517285531370041,-0.3256113256113249,False,True,False,False,False,False,False,False,False,True,False
1.0,0.1999999999999993,1.0,-0.9999999999999999,0.3827160493827164,0.75,0.737704918032787,-0.9746031746031745,0.9999999999999998,0.7708066581306019,-0.6190476190476168,False,False,False,True,False,False,False,True,False,False,False
-0.6424697538589903,-1.0,-0.2727272727272734,0.4035087719298245,-0.4074074074074072,0.5,0.1311475409836067,-0.7777777777777777,0.9999999999999998,0.7708066581306019,-0.6190476190476168,False,False,False,False,True,False,False,True,False,False,False
-0.3504380475594493,1.0,0.6363636363636358,-0.05263157894736836,-0.20987654320987637,0.25,0.27868852459016447,-0.7777777777777777,-0.014150943396226356,1.0,-0.4607464607464582,False,False,True,False,False,False,True,False,False,False,False
0.7375886524822697,0.5999999999999996,0.6363636363636358,0.26315789473684204,0.5802469135802473,0.75,0.7049180327868854,-0.9301587301587301,-0.9999999999999999,-1.0,-0.04118404118404051,False,False,False,True,False,True,False,False,False,False,False
-0.4860241969128076,-0.8000000000000007,-0.6181818181818182,0.26315789473684204,0.497942386831276,-0.2749999999999999,-0.3278688524590163,-0.7184126984126983,0.2924528301886793,-0.6517285531370041,-0.3256113256113249,True,False,False,False,False,False,False,False,False,True,False
-0.25406758448060063,-0.20000000000000107,0.01818181818181852,-0.05263157894736836,0.925925925925926,-0.050000000000000044,-0.09836065573770458,-0.8044444444444443,0.2924528301886793,-0.6517285531370041,-0.3256113256113249,False,False,True,False,False,False,False,False,False,True,False
-1.0,0.1999999999999993,-0.45454545454545503,1.0,-0.8024691358024689,-0.4750000000000001,-0.4590163934426226,0.15873015873015883,-0.990566037735849,0.23175416133162585,1.0,False,True,False,False,False,False,False,False,True,False,False
-0.0646641635377555,0.5999999999999996,0.6363636363636358,-0.33333333333333326,0.5802469135802473,0.25,0.27868852459016447,-0.8698412698412697,0.9999999999999998,0.7708066581306019,-0.6190476190476168,False,False,True,False,False,False,False,True,False,False,False
-0.8005840634125991,-0.20000000000000107,-0.2727272727272734,0.6140350877192984,0.18518518518518556,-0.25,-0.2295081967213113,-0.3555555555555554,0.9999999999999998,0.7708066581306019,-0.6190476190476168,False,True,False,False,False,False,False,True,False,False,False
0.6942010846891951,0.5999999999999996,-0.45454545454545503,0.47368421052631593,-0.012345679012345512,1.0,1.0000000000000004,-0.9999999999999999,-0.9669811320754716,-0.23303457106274017,-1.0,False,False,False,True,False,False,False,False,False,False,True
-0.9253233208176888,-0.5999999999999996,-0.45454545454545503,0.8947368421052633,-0.012345679012345512,-0.25,-0.3278688524590163,-0.311111111111111,0.9999999999999998,0.7708066581306019,-0.6190476190476168,True,False,False,False,False,False,False,True,False,False,False
-0.9787234042553191,0.5999999999999996,-0.2727272727272734,0.8596491228070176,-0.6049382716049381,-0.375,-0.360655737704918,-0.07619047619047603,-0.990566037735849,0.23175416133162585,1.0,False,False,True,False,False,False,False,False,True,False,False
-0.9545264914476429,0.1999999999999993,-0.6363636363636367,0.7543859649122808,0.3827160493827164,-0.25,-0.26229508196721296,0.746031746031746,-0.9669811320754716,-0.23303457106274017,-1.0,False,False,True,False,False,False,False,False,False,False,True
-0.9549436795994993,0.1999999999999993,-0.2727272727272734,0.7543859649122808,-0.8024691358024689,-0.5,-0.5901639344262293,-0.39682539682539675,-0.014150943396226356,1.0,-0.4607464607464582,True,False,False,False,False,False,True,False,False,False,False
-1.0,-0.20000000000000107,-0.8181818181818183,0.8947368421052633,-0.6049382716049381,-0.25,-0.4262295081967209,-0.015873015873015817,-0.9669811320754716,-0.23303457106274017,-1.0,False,False,False,False,True,False,False,False,False,False,True
0.17229870671672942,0.1999999999999993,0.09090909090909083,0.6140350877192984,-0.4074074074074072,0.6000000000000001,0.6065573770491808,-0.6317460317460316,-0.990566037735849,0.23175416133162585,1.0,False,False,False,True,False,False,False,False,True,False,False
-0.44889445139758033,0.1999999999999993,0.09090909090909083,0.29824561403508776,0.3827160493827164,0.0,-0.08196721311475397,-0.6793650793650792,-0.9999999999999999,-1.0,-0.04118404118404051,False,True,False,False,False,True,False,False,False,False,False
0.7751355861493534,0.6799999999999997,0.8181818181818183,-0.6491228070175437,-0.13580246913580218,0.5750000000000002,0.540983606557377,-0.8907936507936507,0.2924528301886793,-0.6517285531370041,-0.3256113256113249,False,False,False,True,False,False,False,False,False,True,False
-0.7576136837713809,-0.8800000000000008,-0.6545454545454552,0.3333333333333335,-0.2839506172839503,-0.125,-0.26229508196721296,-0.6634920634920634,0.2924528301886793,-0.6517285531370041,-0.3256113256113249,False,False,False,False,True,False,False,False,False,True,False
