water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,longitude,month_December,month_February,month_January,month_November,month_October,city_chennai,city_delhi,city_jaipur,city_kolkata,city_kurnool,crop_maize,soil_red lomy sand
-0.9441248972884141,0.625,0.6541353383458643,0.5111111111111111,1.0,0.7948717948717947,1.0,-0.9817629179331308,-0.9999999999999999,-1.0,-0.2861685214626384,False,True,False,False,False,True,False,False,False,False,True,True
0.6335250616269517,0.125,0.5488721804511272,-0.5555555555555558,-0.2222222222222221,0.384615384615385,0.16666666666666696,-1.0,0.2924528301886793,-0.6517285531370041,-0.6375198728139893,False,False,True,False,False,False,False,False,False,True,True,True
0.5645028759244044,-0.375,0.20300751879699241,-0.5555555555555558,0.0,0.4871794871794872,-0.4523809523809521,-0.9513677811550152,0.9999999999999998,0.7708066581306019,-1.0,False,False,False,True,False,False,False,True,False,False,True,True
0.4576828266228432,-0.25,-0.09774436090225613,0.5555555555555554,-0.6666666666666665,0.17948717948717974,-0.5714285714285716,-0.9574468085106383,-0.990566037735849,0.23175416133162585,1.0000000000000018,True,False,False,False,False,False,False,False,True,False,True,True
-1.0,1.0,0.8045112781954886,0.822222222222222,0.6666666666666665,-0.8974358974358974,-0.07142857142857117,0.4650455927051671,-0.9999999999999999,-1.0,-0.2861685214626384,False,False,False,False,True,True,False,False,False,False,True,True
0.6499589153656535,-0.875,-0.5488721804511281,-0.3777777777777782,0.0,-0.02564102564102555,-1.0,-0.9817629179331308,0.9999999999999998,0.7708066581306019,-1.0,True,False,False,False,False,False,False,True,False,False,True,True
1.0,0.07500000000000018,0.3984962406015038,-0.3777777777777782,-0.7083333333333333,0.17948717948717974,-0.07142857142857117,-0.9890577507598785,0.2924528301886793,-0.6517285531370041,-0.6375198728139893,True,False,False,False,False,False,False,False,False,True,True,True
-0.5168447000821692,0.375,0.8045112781954886,0.15555555555555545,-0.6666666666666665,-0.5384615384615383,-0.5476190476190479,-0.939209726443769,-0.014150943396226356,1.0,-0.8044515103338625,False,False,False,False,True,False,True,False,False,False,True,True
0.035332785538208844,-1.0,-0.8496240601503766,-0.1555555555555559,0.3333333333333335,-0.02564102564102555,-0.8095238095238098,-0.9635258358662614,0.9999999999999998,0.7708066581306019,-1.0,False,False,True,False,False,False,False,True,False,False,True,True
-0.9572719802793755,-0.625,-0.24812030075187996,-0.6000000000000001,1.0,0.4871794871794872,-0.023809523809523725,-0.939209726443769,0.9999999999999998,0.7708066581306019,-1.0,False,True,False,False,False,False,False,True,False,False,True,True
-1.0,1.0,0.6541353383458643,0.822222222222222,-0.6666666666666665,-0.8974358974358974,-0.4761904761904763,-0.1428571428571429,-0.990566037735849,0.23175416133162585,1.0000000000000018,False,False,False,False,True,False,False,False,True,False,True,True
0.1635168447000821,-0.875,-0.8496240601503766,0.5111111111111111,-0.33333333333333326,1.0,-0.6428571428571428,-0.939209726443769,-0.014150943396226356,1.0,-0.8044515103338625,True,False,False,False,False,False,True,False,False,False,True,True
-0.018898931799506857,0.375,0.3533834586466158,0.5555555555555554,-0.9999999999999999,0.02564102564102555,-0.40476190476190466,-0.8419452887537994,-0.990566037735849,0.23175416133162585,1.0000000000000018,False,False,False,True,False,False,False,False,True,False,True,True
-0.33771569433032045,-1.0,-1.0000000000000004,0.5999999999999996,0.0,1.0,-0.4523809523809521,-0.878419452887538,-0.014150943396226356,1.0,-0.8044515103338625,False,False,True,False,False,False,True,False,False,False,True,True
-0.9638455217748562,0.125,0.3533834586466158,0.28888888888888875,-0.6666666666666665,0.23076923076923084,0.0952380952380949,-0.8662613981762918,-0.990566037735849,0.23175416133162585,1.0000000000000018,False,True,False,False,False,False,False,False,True,False,True,True
-0.533278553820871,0.75,0.3533834586466158,0.8666666666666663,0.6666666666666665,-0.7435897435897436,-0.4761904761904763,-0.2522796352583586,-0.9999999999999999,-1.0,-0.2861685214626384,True,False,False,False,False,True,False,False,False,False,True,True
-0.9654889071487264,0.7999999999999998,0.7142857142857135,0.06666666666666643,-0.3472222222222221,0.33333333333333304,0.6428571428571432,-0.4547112462006079,0.2924528301886793,-0.6517285531370041,-0.6375198728139893,False,False,False,False,True,False,False,False,False,True,True,True
-0.9457682826622843,0.4125000000000001,0.9999999999999991,-1.0000000000000002,-0.11111111111111116,0.6410256410256414,0.7619047619047619,-0.9726443768996961,0.2924528301886793,-0.6517285531370041,-0.6375198728139893,False,True,False,False,False,False,False,False,False,True,True,True
-0.9671322925225966,-0.75,-0.6992481203007523,0.28888888888888875,0.3333333333333335,1.0,0.14285714285714324,-0.817629179331307,-0.014150943396226356,1.0,-0.8044515103338625,False,True,False,False,False,False,True,False,False,False,True,True
-1.0,0.875,0.5037593984962401,0.9999999999999996,0.6666666666666665,-1.0,-0.4523809523809521,1.0,-0.9999999999999999,-1.0,-0.2861685214626384,False,False,False,True,False,True,False,False,False,False,True,True
